"";"*NAME_1.CasaManco";"*NAME_10.TrattoriaPennestri";"*NAME_100.CharroCafe";"*NAME_101.CimagliaSilvana";"*NAME_102.Yoshi";"*NAME_103.MoonlightCafe";"*NAME_104.PURO-StreetFoodFromPuglia";"*NAME_105.DaSeverino";"*NAME_106.IlSemeelaFoglia";"*NAME_107.Farinando";"*NAME_108.CerteNottiaTestaccio";"*NAME_109.VeganStore";"*NAME_11.SushiDoku";"*NAME_110.BurBaCa";"*NAME_111.PizzeriaViaAmerigoVespucciRoma";"*NAME_112.CapitanConoGelateria";"*NAME_113.YourSushi";"*NAME_114.BurgerKing";"*NAME_115.NorcineriaSergio";"*NAME_116.ConteStaccio";"*NAME_117.BebopMusicClub";"*NAME_118.LosCabosAPSLasCalaveras";"*NAME_119.Testaccino";"*NAME_12.SakanaSushi";"*NAME_120.OsteriaPizzeria";"*NAME_121.FoodieFreshmarket";"*NAME_122.Itreporcellinisnc";"*NAME_123.LaFarandula";"*NAME_124.Companatico";"*NAME_125.Spago";"*NAME_126.Bucolica";"*NAME_127.LaCiriolettaIgnorante";"*NAME_128.SantaClaritaTacosySushi";"*NAME_129.MastroTittaPub";"*NAME_13.LaVecchiaLupiae";"*NAME_130.FiordiFarinaPizzaShop";"*NAME_131.PasticceriaBenedetto";"*NAME_132.PLANETRoma";"*NAME_133.SlotHouseEuropa";"*NAME_134.SnackBar";"*NAME_135.Palladiana";"*NAME_136.CottoeMandato";"*NAME_137.Shake";"*NAME_138.Violarosso";"*NAME_139.OnTheBurger";"*NAME_14.JunseiRestaurantKaitenSushi";"*NAME_140.SlurpGelateria";"*NAME_141.SushiPing";"*NAME_142.CafeBoario";"*NAME_143.LaBotticella";"*NAME_144.MammaRoma";"*NAME_145.RistoranteGalu";"*NAME_146.RistoranteallaMaisonLatina";"*NAME_15.LoScopettaro";"*NAME_16.RistoranteEritrea";"*NAME_17.OsteriadegliAmici";"*NAME_18.Ilnidogustoemiscele";"*NAME_19.Pecorino";"*NAME_2.Masto";"*NAME_20.HostariadaEnzo";"*NAME_21.PIZZERIAOSTIENSE";"*NAME_22.PiattoRomano";"*NAME_23.GelateriaLaRomana-Roma,viaOstiense";"*NAME_24.TavernaVolpetti";"*NAME_25.Molì";"*NAME_26.TbspSpotTestaccio";"*NAME_27.FeliceaTestaccio";"*NAME_28.OsteriaFratelliMori";"*NAME_29.PolpettaGazometro";"*NAME_3.LaFataIgnorante";"*NAME_30.PasticceriaAndreotti";"*NAME_31.IlGrottino";"*NAME_32.AssuntinaRistorante";"*NAME_33.PasticceriaLinari";"*NAME_34.RistorantePizzeriaAnticoFornoaTestaccio";"*NAME_35.PizzeriadaRemo";"*NAME_36.StazionediPosta";"*NAME_37.BarGiolitti";"*NAME_38.AiCocci";"*NAME_39.NuovoMondo";"*NAME_4.MordieVai";"*NAME_40.TabernaPersiana";"*NAME_41.AlicePizzaOstiense";"*NAME_42.AugustarelloaTestaccio";"*NAME_43.EnotecaDivinare";"*NAME_44.Doppiozeroo";"*NAME_45.DaBucatino";"*NAME_46.LìArMonte";"*NAME_47.IlSecchioel'Olivaro-Ostiense";"*NAME_48.LaFraschettadiMastroGiorgio";"*NAME_49.MakaiSurf&TikiBar";"*NAME_5.Panna&Co";"*NAME_50.Checchinodal1887";"*NAME_51.TrattoriaPerilli";"*NAME_52.MercatBistrot&OldBar";"*NAME_53.Rec23RestaurantEmporioClub";"*NAME_54.OasidellaBirra-EnotecaPalombi";"*NAME_55.FlavioAlVelavevodetto";"*NAME_56.Gazometro38";"*NAME_57.CacioeCocci";"*NAME_58.CrochonNoelJoseph";"*NAME_59.OishiRestaurant";"*NAME_6.TrapizzinoTestaccio";"*NAME_60.IlPiccoloAlpino";"*NAME_61.DaOioaCasaMia";"*NAME_62.BancoFastFood";"*NAME_63.PortoFluviale";"*NAME_64.Ketumbar";"*NAME_65.Giansanti";"*NAME_66.TheMeatMarketTestaccio";"*NAME_67.AlicePizzaTestaccio";"*NAME_68.IlPizzettiere";"*NAME_69.ContedeiCocci";"*NAME_7.GelateriaBrivido";"*NAME_70.LaTorricella";"*NAME_71.PasticceriaZio";"*NAME_72.LaCreperieDiTestaccio";"*NAME_73.BlueIceGelato";"*NAME_74.PastaeSpätzle";"*NAME_75.LaDoganaFood";"*NAME_76.CapitanPaninokSaporieTradizioniRegionali";"*NAME_77.FoodBox";"*NAME_78.ChihanaSushiRestaurant";"*NAME_79.CakeSiGira";"*NAME_8.Sushisen";"*NAME_80.IlGianfornaio";"*NAME_81.AngelinaCafe'";"*NAME_82.PizzeriaRosticceriaOstiense10";"*NAME_83.FraschettadaSandro";"*NAME_84.LaBaguetteriaOstiense";"*NAME_85.AngelinaaTestaccio";"*NAME_86.ZoéMercatoTestaccio";"*NAME_87.InCiboVeritas";"*NAME_88.PachinoMonello";"*NAME_89.AvePinsa";"*NAME_9.IlPangocciolaio";"*NAME_90.Banco21";"*NAME_91.Trentatrétestaccio";"*NAME_92.StritFud";"*NAME_93.L'insalataRicca-Gazometro";"*NAME_94.RisoRoma";"*NAME_95.ThinkFarmer";"*NAME_96.900";"*NAME_97.RoadhouseGrill";"*NAME_98.DolceSicilia";"*NAME_99.PanificioiGuerrini";"*NAME_DarBruttone(RomaSanGiovanni)";"*NAME_Florian’s";"*NAME_IlTempiodiMinerva";"*NAME_RistoranteEstEstEst";"*NAME_VIICoorte";"*NAME_Viavaibarbistrot"
"super";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
"occasione";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bere";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ripieno";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"strepitoso";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"assolutamente";0;2;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"vivo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"moderno";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"vista";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"complimento";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"ne";1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;1;0;1;0;2;1;0;1;0;0;0;0;0;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0
"già";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"quindi";0;0;1;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"signore";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0
"così";1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;1;1;0;1;0;1;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;3;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;2;0;0;1;0;0;1;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0
"fritto";0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;2;0;0;0;0;0;1;0;0;3;0;0;0;0
"quasi";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0
