"";"X.NAME_1.CasaManco";"X.NAME_10.TrattoriaPennestri";"X.NAME_100.CharroCafe";"X.NAME_101.CimagliaSilvana";"X.NAME_102.Yoshi";"X.NAME_103.MoonlightCafe";"X.NAME_104.PURO.StreetFoodFromPuglia";"X.NAME_105.DaSeverino";"X.NAME_106.IlSemeelaFoglia";"X.NAME_107.Farinando";"X.NAME_108.CerteNottiaTestaccio";"X.NAME_109.VeganStore";"X.NAME_11.SushiDoku";"X.NAME_110.BurBaCa";"X.NAME_111.PizzeriaViaAmerigoVespucciRoma";"X.NAME_112.CapitanConoGelateria";"X.NAME_113.YourSushi";"X.NAME_114.BurgerKing";"X.NAME_115.NorcineriaSergio";"X.NAME_116.ConteStaccio";"X.NAME_117.BebopMusicClub";"X.NAME_118.LosCabosAPSLasCalaveras";"X.NAME_119.Testaccino";"X.NAME_12.SakanaSushi";"X.NAME_120.OsteriaPizzeria";"X.NAME_121.FoodieFreshmarket";"X.NAME_122.Itreporcellinisnc";"X.NAME_123.LaFarandula";"X.NAME_124.Companatico";"X.NAME_125.Spago";"X.NAME_126.Bucolica";"X.NAME_127.LaCiriolettaIgnorante";"X.NAME_128.SantaClaritaTacosySushi";"X.NAME_129.MastroTittaPub";"X.NAME_13.LaVecchiaLupiae";"X.NAME_130.FiordiFarinaPizzaShop";"X.NAME_131.PasticceriaBenedetto";"X.NAME_132.PLANETRoma";"X.NAME_133.SlotHouseEuropa";"X.NAME_134.SnackBar";"X.NAME_135.Palladiana";"X.NAME_136.CottoeMandato";"X.NAME_137.Shake";"X.NAME_138.Violarosso";"X.NAME_139.OnTheBurger";"X.NAME_14.JunseiRestaurantKaitenSushi";"X.NAME_140.SlurpGelateria";"X.NAME_141.SushiPing";"X.NAME_142.CafeBoario";"X.NAME_143.LaBotticella";"X.NAME_144.MammaRoma";"X.NAME_145.RistoranteGalu";"X.NAME_146.RistoranteallaMaisonLatina";"X.NAME_15.LoScopettaro";"X.NAME_16.RistoranteEritrea";"X.NAME_17.OsteriadegliAmici";"X.NAME_18.Ilnidogustoemiscele";"X.NAME_19.Pecorino";"X.NAME_2.Masto";"X.NAME_20.HostariadaEnzo";"X.NAME_21.PIZZERIAOSTIENSE";"X.NAME_22.PiattoRomano";"X.NAME_23.GelateriaLaRomana.Roma.viaOstiense";"X.NAME_24.TavernaVolpetti";"X.NAME_25.Molì";"X.NAME_26.TbspSpotTestaccio";"X.NAME_27.FeliceaTestaccio";"X.NAME_28.OsteriaFratelliMori";"X.NAME_29.PolpettaGazometro";"X.NAME_3.LaFataIgnorante";"X.NAME_30.PasticceriaAndreotti";"X.NAME_31.IlGrottino";"X.NAME_32.AssuntinaRistorante";"X.NAME_33.PasticceriaLinari";"X.NAME_34.RistorantePizzeriaAnticoFornoaTestaccio";"X.NAME_35.PizzeriadaRemo";"X.NAME_36.StazionediPosta";"X.NAME_37.BarGiolitti";"X.NAME_38.AiCocci";"X.NAME_39.NuovoMondo";"X.NAME_4.MordieVai";"X.NAME_40.TabernaPersiana";"X.NAME_41.AlicePizzaOstiense";"X.NAME_42.AugustarelloaTestaccio";"X.NAME_43.EnotecaDivinare";"X.NAME_44.Doppiozeroo";"X.NAME_45.DaBucatino";"X.NAME_46.LìArMonte";"X.NAME_47.IlSecchioel.Olivaro.Ostiense";"X.NAME_48.LaFraschettadiMastroGiorgio";"X.NAME_49.MakaiSurf.TikiBar";"X.NAME_5.Panna.Co";"X.NAME_50.Checchinodal1887";"X.NAME_51.TrattoriaPerilli";"X.NAME_52.MercatBistrot.OldBar";"X.NAME_53.Rec23RestaurantEmporioClub";"X.NAME_54.OasidellaBirra.EnotecaPalombi";"X.NAME_55.FlavioAlVelavevodetto";"X.NAME_56.Gazometro38";"X.NAME_57.CacioeCocci";"X.NAME_58.CrochonNoelJoseph";"X.NAME_59.OishiRestaurant";"X.NAME_6.TrapizzinoTestaccio";"X.NAME_60.IlPiccoloAlpino";"X.NAME_61.DaOioaCasaMia";"X.NAME_62.BancoFastFood";"X.NAME_63.PortoFluviale";"X.NAME_64.Ketumbar";"X.NAME_65.Giansanti";"X.NAME_66.TheMeatMarketTestaccio";"X.NAME_67.AlicePizzaTestaccio";"X.NAME_68.IlPizzettiere";"X.NAME_69.ContedeiCocci";"X.NAME_7.GelateriaBrivido";"X.NAME_70.LaTorricella";"X.NAME_71.PasticceriaZio";"X.NAME_72.LaCreperieDiTestaccio";"X.NAME_73.BlueIceGelato";"X.NAME_74.PastaeSpätzle";"X.NAME_75.LaDoganaFood";"X.NAME_76.CapitanPaninokSaporieTradizioniRegionali";"X.NAME_77.FoodBox";"X.NAME_78.ChihanaSushiRestaurant";"X.NAME_79.CakeSiGira";"X.NAME_8.Sushisen";"X.NAME_80.IlGianfornaio";"X.NAME_81.AngelinaCafe.";"X.NAME_82.PizzeriaRosticceriaOstiense10";"X.NAME_83.FraschettadaSandro";"X.NAME_84.LaBaguetteriaOstiense";"X.NAME_85.AngelinaaTestaccio";"X.NAME_86.ZoéMercatoTestaccio";"X.NAME_87.InCiboVeritas";"X.NAME_88.PachinoMonello";"X.NAME_89.AvePinsa";"X.NAME_9.IlPangocciolaio";"X.NAME_90.Banco21";"X.NAME_91.Trentatrétestaccio";"X.NAME_92.StritFud";"X.NAME_93.L.insalataRicca.Gazometro";"X.NAME_94.RisoRoma";"X.NAME_95.ThinkFarmer";"X.NAME_96.900";"X.NAME_97.RoadhouseGrill";"X.NAME_98.DolceSicilia";"X.NAME_99.PanificioiGuerrini";"X.NAME_DarBruttone.RomaSanGiovanni.";"X.NAME_Florian.s";"X.NAME_IlTempiodiMinerva";"X.NAME_RistoranteEstEstEst";"X.NAME_VIICoorte";"X.NAME_Viavaibarbistrot"
"sugo";0;0;0;0;0;0;6,17;4,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,86;0;0;0;0;0;7,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,93;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;6,8;0;0;0;0;11,63;0;8,81;0;0;0;0;0;0;0;9,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"accompagnare";0;6,1;0;0;0;0;6,17;0;0;0;0;0;0;0;0;0;0;0;0;3,05;0;0;0;0;0;0;0;0;0;0;0;0;8,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,99;0;0;0;0;3,51;0;0;9,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,06;0;6,41;0;0;0;0;0;0;0;0;0;0;0;18,87;0;0;0;0;0;0;0;0;0;0;0;0;0;7,94;0;0;0;10,75;0;0;0;0;0;0;0;0;0;0;0;0;5,21;0;6,85;0;0;0;0;0;14,93;0;0;0;0
"avere";38,96;24,39;21,05;0;13,25;12,5;37,04;38,83;13,7;85,11;37,97;33,61;35,09;21,51;0;30,3;64,52;17,24;73,77;57,93;24,39;33,78;10,75;52,13;32,26;47,62;15,87;9,35;0;43,01;11,9;41,24;16,67;27,03;26,55;0;72,29;0;33,9;96,77;24,39;100;25,86;12,2;21,74;16,53;47,62;14,93;25,81;16,81;32,61;49,3;35,21;46,33;48;27,4;20,98;23,81;11,76;44,44;59,6;31,58;59,41;27,27;0;34,48;65,5;52,36;43,8;29,13;50,42;0;0;48,08;35,21;18,18;64,52;52,63;58,2;8,93;38,83;33,78;83,33;20,41;16,67;11,3;10;38,96;24,59;7,63;34,78;23,26;18,52;44,44;48,48;59,07;12,82;61,22;45,71;14,71;19,23;33,11;11,63;0;17,62;28,57;47,17;42,02;18,87;0;32,79;0;38,1;62,5;121,02;14,08;45,45;20,83;19,61;24,1;59,32;61,61;79,37;88,76;43,8;44,25;21,51;50,51;0;0;42,55;31,01;45,05;13,7;14,81;40;57,38;16,13;39,47;31,25;43,17;54,79;27,59;32,89;53,33;14,81;25,64;29,85;17,39;35,09;48,78;13,7
"mozzarella";0;0;0;0;0;0;0;4,85;0;0;0;0;0;0;0;0;0;0;8,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,87;0;0;0;0;0;0;0;11,76;0;13,25;0;0;0;0;0;0;0;0;0;0;0;0;9,62;0;0;0;0;0;0;0;0;0;0;0;0;0;12,99;0;0;0;0;0;7,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,39;0;0;0;0;0;0;0;0;0;0;9,48;0;0;0;0;0;0;0;0;0;0;0;0;7,41;0;0;0;0;0;0;0;0;0;0;0;0;0;8,7;0;0;0
"amante";0;0;0;0;0;0;0;0;0;0;25,32;0;17,54;0;0;0;0;0;0;0;6,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,09;9,43;0;0;0;14,6;0;0;0;0;0;0;0;0;0;0;0;0;3,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"scoprire";0;0;0;0;0;0;0;0;0;0;12,66;0;0;0;0;0;8,06;0;0;3,05;6,1;0;0;0;0;11,9;0;0;0;0;0;10,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,9;0;0;0;0;0;0;0;0;0;0;0;7,04;0;0;0;0;0;0;10,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,42;0;0;0;0;9,8;0;0;0;0;0;0;0;0;0;0;0;0;0;18,02;0;0;0;0;0;0;0;0;13,7;0;0;0;0;0;0;0;0;0;0
"resto";0;0;0;0;0;0;0;4,85;0;0;0;0;0;0;0;0;0;0;0;0;6,1;0;0;0;0;0;15,87;0;0;0;0;0;8,33;0;0;0;0;0;0;0;0;8,33;0;0;0;0;0;0;0;0;0;0;7,04;3,86;0;0;6,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,29;0;0;0;5,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,35;0;0;0;0;0;7,14;0;0;0;11,11;0;0;0;0;0;0;0;0;9,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,2;0;0;5,21;0;0;0;0;0;0;0;0;0;0;0;0
"economico";0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,9;10,31;0;0;0;0;12,05;0;16,95;0;0;8,33;0;0;0;0;0;0;0;0;0;0;0;3,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,93;0;3,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,09;0;0;0;0;0;0;0;0;8,85;0;0;9,9;14,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nulla";0;6,1;0;0;0;0;0;4,85;13,7;0;0;0;0;10,75;0;0;0;17,24;0;3,05;6,1;0;0;0;16,13;0;0;0;0;0;0;0;0;0;0;0;12,05;0;0;0;0;0;0;0;0;0;7,94;0;0;0;0;0;0;0;0;0;0;0;0;0;13,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,22;0;0;5,71;0;0;6,62;0;7,81;0;7,14;0;0;0;0;0;0;9,52;0;0;0;0;0;0;0;8,47;0;0;0;7,3;0;0;0;0;0;0;0;0;0;7,41;0;0;0;0;0;0;0;0;6,58;0;0;3,21;0;0;8,77;0;0
"attento";0;0;0;0;0;0;0;0;0;0;0;0;0;21,51;17,86;0;0;0;0;3,05;0;0;0;0;16,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,86;0;0;6,99;0;0;0;0;7,02;0;0;9,43;0;4,37;0;0;0;8,4;8,47;0;0;0;0;6,45;0;0;0;0;0;0;10,2;0;0;10;0;0;15,27;0;0;6,17;0;0;0;6,41;6,8;0;0;0;0;0;0;0;0;0;8,4;0;0;0;0;9,52;0;0;0;0;0;0;0;0;0;0;0;7,3;0;0;10,1;0;14,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,41;0;0;0;6,1;0
"consegna";0;0;0;0;0;0;6,17;0;0;0;0;0;0;0;0;0;8,06;17,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,33;0;0;0;0;15,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,92;0;0;0;20,2;0;0;3,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"passare";0;0;10,53;0;6,62;0;6,17;0;0;0;0;8,4;0;0;0;0;8,06;0;0;0;0;0;0;0;16,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,87;0;7,04;0;0;6,85;0;0;0;0;0;0;9,9;0;0;0;0;0;0;19,42;8,4;8,47;0;0;0;0;0;0;0;0;0;0;0;0;0;5,65;0;0;8,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,11;0;0;0;0;0;0;0;0;0;6,02;8,47;0;0;0;0;0;0;0;0;0;0;0;9,01;0;0;0;0;0;0;0;7,19;0;0;0;6,67;0;0;0;0;0;0;6,85
